2.95150	2.510000,-79.160000,0.000000	92.300000,-5.700000,0.000000	88.200000,-13.400000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.01851	2.880000,-79.130000,0.000000	92.420000,-7.270000,0.000000	88.090000,-12.410000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.02271	3.500000,-79.110000,0.000000	92.800000,-9.130000,0.000000	87.890000,-11.180000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.07603	3.770000,-79.040000,0.000000	92.960000,-10.790000,0.000000	87.880000,-9.230000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.13543	4.390000,-79.070000,0.000000	93.170000,-12.460000,0.000000	87.780000,-7.270000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.25430	3.350000,-79.120000,0.000000	93.130000,-14.880000,0.000000	87.410000,-5.950000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.26330	4.270000,-79.110000,0.000000	93.010000,-17.300000,0.000000	87.190000,-4.170000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.26627	5.150000,-79.260000,0.000000	93.170000,-20.030000,0.000000	87.180000,-2.410000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.31895	4.730000,-79.330000,0.000000	92.810000,-22.920000,0.000000	87.110000,-1.110000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.37495	5.600000,-79.460000,0.000000	92.450000,-25.850000,0.000000	87.040000,0.220000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.38441	4.860000,-79.660000,0.000000	91.660000,-29.010000,0.000000	86.830000,1.370000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.43433	4.560000,-79.940000,0.000000	90.870000,-32.390000,0.000000	86.840000,2.150000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.55462	3.800000,-80.230000,0.000000	90.320000,-35.940000,0.000000	86.900000,2.700000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.56100	3.670000,-80.770000,0.000000	89.950000,-39.550000,0.000000	87.080000,3.250000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
3.56333	0.730000,-81.280000,0.000000	89.120000,-43.190000,0.000000	87.320000,3.570000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
