time	pelvis_imu	femur_r_imu	tibia_r_imu
10.800	-106.340000,-72.100000,0.000000	6.210000,-80.320000,0.000000	88.470000,-56.470000,0.000000
10.919	-105.160000,-72.520000,0.000000	10.360000,-79.740000,0.000000	88.220000,-55.220000,0.000000
11.055	-102.240000,-73.400000,0.000000	15.270000,-78.580000,0.000000	88.850000,-53.850000,0.000000
11.189	-100.660000,-73.290000,0.000000	18.070000,-78.600000,0.000000	88.470000,-52.970000,0.000000
11.310	-98.770000,-73.340000,0.000000	19.280000,-78.360000,0.000000	88.490000,-52.710000,0.000000
11.445	-97.180000,-73.570000,0.000000	20.880000,-78.170000,0.000000	88.690000,-52.210000,0.000000
11.580	-96.130000,-74.450000,0.000000	24.400000,-77.150000,0.000000	89.710000,-51.670000,0.000000
11.700	-96.330000,-74.930000,0.000000	25.470000,-76.840000,0.000000	90.320000,-51.190000,0.000000
11.834	-96.750000,-74.890000,0.000000	25.390000,-76.580000,0.000000	90.390000,-51.130000,0.000000
11.969	-96.520000,-75.160000,0.000000	26.090000,-76.160000,0.000000	90.590000,-50.650000,0.000000
12.104	-96.670000,-75.080000,0.000000	25.830000,-76.230000,0.000000	90.230000,-50.810000,0.000000
12.224	-96.970000,-74.950000,0.000000	25.590000,-76.600000,0.000000	89.820000,-50.680000,0.000000
12.360	-97.030000,-74.660000,0.000000	24.900000,-76.610000,0.000000	90.220000,-50.300000,0.000000
12.480	-96.540000,-74.530000,0.000000	23.780000,-76.480000,0.000000	90.120000,-50.230000,0.000000
12.614	-96.660000,-74.370000,0.000000	22.860000,-76.740000,0.000000	89.680000,-50.640000,0.000000
12.764	-96.950000,-74.490000,0.000000	23.560000,-76.970000,0.000000	89.410000,-50.760000,0.000000
12.870	-98.140000,-74.850000,0.000000	25.830000,-76.980000,0.000000	90.360000,-50.770000,0.000000
13.005	-98.840000,-75.410000,0.000000	26.650000,-76.790000,0.000000	91.330000,-51.240000,0.000000
13.140	-98.950000,-74.780000,0.000000	24.410000,-76.990000,0.000000	91.690000,-51.240000,0.000000
13.260	-99.590000,-74.670000,0.000000	23.540000,-76.820000,0.000000	93.310000,-50.320000,0.000000
13.395	-101.680000,-75.400000,0.000000	23.460000,-76.500000,0.000000	94.650000,-50.070000,0.000000
13.530	-101.100000,-75.030000,0.000000	21.220000,-77.010000,0.000000	95.130000,-50.470000,0.000000
13.650	-101.430000,-74.640000,0.000000	18.870000,-77.670000,0.000000	95.650000,-50.620000,0.000000
13.785	-101.860000,-74.220000,0.000000	15.970000,-77.950000,0.000000	96.990000,-50.560000,0.000000
13.919	-103.440000,-74.370000,0.000000	15.960000,-77.730000,0.000000	97.570000,-50.720000,0.000000
14.040	-103.580000,-74.810000,0.000000	16.260000,-78.110000,0.000000	98.610000,-51.250000,0.000000
14.174	-103.730000,-74.720000,0.000000	15.470000,-78.530000,0.000000	99.220000,-51.360000,0.000000
14.310	-102.900000,-74.830000,0.000000	13.650000,-78.700000,0.000000	100.270000,-51.490000,0.000000
14.430	-101.810000,-75.090000,0.000000	15.200000,-78.610000,0.000000	100.900000,-51.050000,0.000000
14.564	-102.060000,-74.930000,0.000000	15.570000,-78.800000,0.000000	100.360000,-51.120000,0.000000
14.700	-104.060000,-74.320000,0.000000	15.400000,-78.580000,0.000000	100.020000,-50.770000,0.000000
14.820	-104.230000,-74.320000,0.000000	13.960000,-78.750000,0.000000	99.780000,-50.810000,0.000000
14.954	-104.320000,-74.330000,0.000000	11.440000,-78.760000,0.000000	99.560000,-51.270000,0.000000
15.089	-104.080000,-73.720000,0.000000	9.950000,-78.680000,0.000000	99.190000,-51.290000,0.000000
15.210	-104.740000,-74.090000,0.000000	10.790000,-78.680000,0.000000	98.730000,-51.230000,0.000000
15.345	-105.170000,-74.110000,0.000000	10.340000,-78.670000,0.000000	98.410000,-51.130000,0.000000
15.480	-104.990000,-73.540000,0.000000	8.600000,-78.530000,0.000000	98.260000,-50.100000,0.000000
15.600	-104.940000,-73.490000,0.000000	7.470000,-78.380000,0.000000	98.050000,-47.810000,0.000000
15.734	-105.580000,-73.480000,0.000000	5.640000,-78.550000,0.000000	98.110000,-44.560000,0.000000
15.870	-105.200000,-73.400000,0.000000	4.750000,-78.130000,0.000000	98.440000,-40.650000,0.000000
15.990	-104.910000,-73.670000,0.000000	3.380000,-77.980000,0.000000	98.020000,-36.190000,0.000000
16.125	-103.370000,-73.280000,0.000000	1.670000,-78.490000,0.000000	96.890000,-31.170000,0.000000
16.259	-101.880000,-73.120000,0.000000	0.460000,-78.530000,0.000000	95.410000,-25.630000,0.000000
16.380	-99.910000,-72.770000,0.000000	-3.680000,-78.770000,0.000000	94.670000,-20.630000,0.000000
16.515	-99.640000,-73.380000,0.000000	-4.790000,-78.310000,0.000000	93.500000,-15.840000,0.000000
16.650	-97.650000,-72.800000,0.000000	-13.220000,-78.510000,0.000000	92.210000,-9.690000,0.000000
16.770	-95.070000,-72.690000,0.000000	-13.640000,-79.050000,0.000000	92.170000,-3.910000,0.000000
16.904	-92.900000,-72.750000,0.000000	-15.570000,-79.060000,0.000000	91.300000,0.900000,0.000000
17.039	-91.480000,-72.230000,0.000000	-19.330000,-79.110000,0.000000	90.120000,4.110000,0.000000
17.159	-89.980000,-71.930000,0.000000	-22.090000,-79.240000,0.000000	89.280000,7.510000,0.000000
17.294	-89.870000,-72.280000,0.000000	-25.500000,-79.850000,0.000000	88.690000,10.310000,0.000000
17.430	-89.240000,-72.800000,0.000000	-26.170000,-80.380000,0.000000	89.130000,13.220000,0.000000
17.550	-88.970000,-73.150000,0.000000	-28.390000,-80.780000,0.000000	89.200000,15.120000,0.000000
